
n       HLT Path Name   Index 0 Emergency       Index 1 2.2e34  Index 2 2.0e34  Index 3 1.6e34  Index 4 1.4e34  Index 5 1.2e34  Index 6 1.0e34  Index 7 8.0e33  Index 8 5.0e33  Index 9 1.0e34 backup   Index 10 900b   Index 11 1.6e34 + ZeroBias      
165     HLT_Dimuon18_PsiPrime_noCorrL1_v6 (2110421)                     0       1       1       1       1       1       1       1       1       1       1       1       
166     HLT_Dimuon18_PsiPrime_v14 (2110419)                             0       1       1       1       1       1       1       1       1       1       1       1       
167     HLT_Dimuon20_Jpsi_Barrel_Seagulls_v7 (2110416)                  0       0       0       0       0       0       0       0       0       0       0       0       
168     HLT_Dimuon24_Phi_noCorrL1_v6 (2110423)                          0       1       1       1       1       1       1       1       1       1       1       1       
169     HLT_Dimuon24_Upsilon_noCorrL1_v6 (2110422)                      0       1       1       1       1       1       1       1       1       1       1       1       
170     HLT_Dimuon25_Jpsi_noCorrL1_v6 (2110424)                         0       1       1       1       1       1       1       1       1       1       1       1       
171     HLT_Dimuon25_Jpsi_v14 (2110420)                                 0       1       1       1       1       1       1       1       1       1       1       1       
172     HLT_Diphoton30PV_18PV_R9Id_AND_IsoCaloId_AND_HE_R9Id_NoPixelVeto_Mass55_v13 (2110327)   0       32      32      32      32      32      32      32      32      32      32      32   
173     HLT_Diphoton30PV_18PV_R9Id_AND_IsoCaloId_AND_HE_R9Id_PixelVeto_Mass55_v15 (2110326)     0       1       1       1       1       1       1       1       1       1       1       1    
174     HLT_Diphoton30_18_R9IdL_AND_HE_AND_IsoCaloId_NoPixelVeto_Mass55_v1 (2110625)            0       1       1       1       1       1       1       1       1       1       1       1      
175     HLT_Diphoton30_18_R9IdL_AND_HE_AND_IsoCaloId_NoPixelVeto_v1 (2110626)   0       1       1       1       1       1       1       1       1       1       1       1      
176     HLT_Diphoton30_22_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass90_v13 (2110324)    0       1       1       1       1       1       1       1       1       1       1       1      
177     HLT_Diphoton30_22_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass95_v13 (2110325)    0       1       1       1       1       1       1       1       1       1       1       1      
178     HLT_DoubleEle24_eta2p1_WPTight_Gsf_v7 (2110030)                         0       1       1       1       1       1       1       1       1       1       1       1  
179     HLT_DoubleEle25_CaloIdL_MW_v4 (2110027)                                 0       1       1       1       1       1       1       1       1       1       1       1       
180     HLT_DoubleEle27_CaloIdL_MW_v4 (2110028)                                 0       1       1       1       1       1       1       1       1       1       1       1       
181     HLT_DoubleEle33_CaloIdL_MW_v17 (2110029)                                0       1       1       1       1       1       1       1       1       1       1       1       
182     HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_DZ_PFHT350_v20 (2110031)          0       1       1       1       1       1       1       1       1       1       1       1       
183     HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT350_v20 (2110032)             0       1       1       1       1       1       1       1       1       1       1       1       
184     HLT_DoubleIsoMu20_eta2p1_v7 (2110428)                                   0       1       1       1       1       1       1       1       1       1       1       1       
185     HLT_DoubleL2Mu23NoVtx_2Cha_CosmicSeed_v2 (2110101)                      0       1       1       1       1       1       1       1       1       1       1       1       
186     HLT_DoubleL2Mu23NoVtx_2Cha_v2 (2110104)                                 0       1       1       1       1       1       1       1       1       1       1       1       
187     HLT_DoubleL2Mu25NoVtx_2Cha_CosmicSeed_Eta2p4_v2 (2110103)               0       1       1       1       1       1       1       1       1       1       1       1       
188     HLT_DoubleL2Mu25NoVtx_2Cha_CosmicSeed_v2 (2110102)                      0       1       1       1       1       1       1       1       1       1       1       1       
189     HLT_DoubleL2Mu25NoVtx_2Cha_Eta2p4_v2 (2110106)                          0       1       1       1       1       1       1       1       1       1       1       1       
190     HLT_DoubleL2Mu25NoVtx_2Cha_v2 (2110105)                                 0       1       1       1       1       1       1       1       1       1       1       1       
191     HLT_DoubleL2Mu30NoVtx_2Cha_CosmicSeed_Eta2p4_v2 (2110098)               0       1       1       1       1       1       1       1       1       1       1       1       
192     HLT_DoubleL2Mu30NoVtx_2Cha_Eta2p4_v2 (2110099)                          0       1       1       1       1       1       1       1       1       1       1       1       
193     HLT_DoubleL2Mu50_v2 (2110100)                                           0       1       1       1       1       1       1       1       1       1       1       1       
194     HLT_DoubleMediumChargedIsoPFTau35_Trk1_TightID_eta2p1_Reg_v12 (2110552) 0       0       0       0       0       0       0       0       0       0       0       0       
195     HLT_DoubleMediumChargedIsoPFTau35_Trk1_eta2p1_Reg_v12 (2110548)         0       0       0       0       0       0       0       0       0       0       0       0       
196     HLT_DoubleMediumChargedIsoPFTau40_Trk1_TightID_eta2p1_Reg_v12 (2110553) 0       1       1       1       1       1       1       1       1       1       1       1       
197     HLT_DoubleMediumChargedIsoPFTau40_Trk1_eta2p1_Reg_v12 (2110549)         0       0       0       0       0       0       0       0       0       0       0       0       
198     HLT_DoubleMediumChargedIsoPFTauHPS35_Trk1_eta2p1_Reg_v3 (2110585)       0       1       1       1       1       1       1       1       1       1       1       1       
199     HLT_DoubleMu20_7_Mass0to30_L1_DM4EG_v8 (2110373)                        0       30      30      30      30      30      30      30      30      30      30      30      
200     HLT_DoubleMu20_7_Mass0to30_L1_DM4_v7 (2110372)                          0       0       0       0       0       0       0       0       0       0       0       0       
201     HLT_DoubleMu20_7_Mass0to30_Photon23_v8 (2110393)                        0       1       1       1       1       1       1       1       1       1       1       1       
202     HLT_DoubleMu2_Jpsi_DoubleTkMu0_Phi_v5 (2110605                          0       1       1       1       1       1       1       1       1       1       1       1       
203     HLT_DoubleMu2_Jpsi_DoubleTrk1_Phi1p05_v6 (2110604)                      0       1       1       1       1       1       1       1       1       1       1       1       
204     HLT_DoubleMu33NoFiltersNoVtxDisplaced_v1 (2110370)                      0       1       1       1       1       1       1       1       1       1       1       1       
205     HLT_DoubleMu3_DCA_PFMET50_PFMHT60_v10 (2110606)                         0       1       1       1       1       1       1       1       1       1       1       1       
206     HLT_DoubleMu3_DZ_PFMET50_PFMHT60_v10 (2110357)                          0       1       1       1       1       1       1       1       1       1       1       1       
207     HLT_DoubleMu3_DZ_PFMET70_PFMHT70_v10 (2110358)                          0       1       1       1       1       1       1       1       1       1       1       1       
208     HLT_DoubleMu3_DZ_PFMET90_PFMHT90_v10 (2110359)                          0       1       1       1       1       1       1       1       1       1       1       1       
209     HLT_DoubleMu3_DoubleEle7p5_CaloIdL_TrackIdL_Upsilon_v4 (2110024)                   0       1       1       1       1       1       1       1       1       1       1       1      
210     HLT_DoubleMu3_TkMu_DsTau3Mu_v4 (2110042)                                           0       1       1       1       1       1       1       1       1       1       1       1      
211     HLT_DoubleMu3_Trk_Tau3mu_NoL1Mass_v6 (2110360)                                     0       1       1       1       1       1       1       1       1       1       1       1      
212     HLT_DoubleMu3_Trk_Tau3mu_v12 (2110041)                                             0       20      20      20      20      20      20      20      20      20      20      20     
213     HLT_DoubleMu40NoFiltersNoVtxDisplaced_v1 (2110371)                                 0       1       1       1       1       1       1       1       1       1       1       1      
214     HLT_DoubleMu43NoFiltersNoVtx_v4 (2110364)                                          0       1       1       1       1       1       1       1       1       1       1       1      
215     HLT_DoubleMu48NoFiltersNoVtx_v4 (2110365)                                          0       1       1       1       1       1       1       1       1       1       1       1      
216     HLT_DoubleMu4_3_Bs_v14 (2110037)                                                   0       1       1       1       1       1       1       1       1       1       1       1      
217     HLT_DoubleMu4_3_Jpsi_v2 (2110038)                                                  0       10      10      10      10      10      10      10      10      10      10      10     
218     HLT_DoubleMu4_JpsiTrkTrk_Displaced_v7 (2110363)                                    0       1       1       1       1       1       1       1       1       1       1       1      
